"","Simulation","Round","Agent","Choice","Reward","Expectation1","Expectation2","Expectation3","Project1_Tasks","Project2_Tasks","Project3_Tasks","Project1_Rewards","Project2_Rewards","Project3_Rewards","Project1_Work","Project2_Work","Project3_Work","alpha","beta","nAgents","nProjects","nTasks","nRounds"
"121",1,7,13,1,1,0.973486751527143,0.633518795264385,0.915234900934413,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"122",1,7,14,3,1,0.883150234464692,0.915238447789014,0.976247318084452,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"123",1,7,15,2,0.916316223196156,0.766070471125609,0.940473148004238,0.92925061891217,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"124",1,7,16,2,0.916316223196156,0.883754481248191,0.923864597670057,0.940008508456338,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"125",1,7,17,3,1,0.812453967464181,0.782578934743035,0.977520426603397,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"126",1,7,18,3,1,0.310712668811902,0.861344240021271,0.977796380625469,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"127",1,8,1,3,0.916316223196156,0.351739175617695,0.885294135629212,0.94536958462785,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"128",1,8,2,3,0.916316223196156,0.892635005192948,0.703466048336968,0.944407945883064,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"129",1,8,3,1,0.916316223196156,0.944546100468843,0.711410777507986,0.909739928438048,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"130",1,8,4,1,0.916316223196156,0.941351948461319,0.902850386315256,0.263727635145187,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"131",1,8,5,1,0.916316223196156,0.926085028390723,0.953408566033594,0.696319607784972,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"132",1,8,6,2,1,0.813184759702606,0.971803633987183,0.118368917144835,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"133",1,8,7,2,1,0.913350032294879,0.969756068383394,0.10058200894855,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"134",1,8,8,1,0.916316223196156,0.944491296588213,0.913073524590489,0.909236627439688,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
